No ,Nama Video ,link Video ,
40,Penerimaan Ziswaf Dengan Presentase Amilin,https://www.youtube.com/watch?v=UH20Ug2Hlw4,
41,Penerimaan Ziswaf Non Uang Dan Non Beras,https://www.youtube.com/watch?v=D5pyJ-K0ZDY,
42,Distribusi Ziswaf,https://www.youtube.com/watch?v=df9Funn98Xs&t=9s,
43,Pembatalan Data Penerimaan Ziswaf,https://www.youtube.com/watch?v=W0SR5Ak8PrY,
44,Pembatalan Data Distribusi Ziswaf,https://www.youtube.com/watch?v=jC-ws-m2uWo,
45,Pengelolaan Barang Wakaf Titipan,https://www.youtube.com/watch?v=6WtXx2AZMIM,
,,,
,Modul Keuangan,,
46,Kategori Pendapatan,https://www.youtube.com/watch?v=JYf9FWaaeFk,
47,Kategori Biaya,https://www.youtube.com/watch?v=8E_mr3fvys4,
48,Kategori Pinjaman Warga,https://www.youtube.com/watch?v=PjCWJvGLMMo,
49,Kas Bank,https://www.youtube.com/watch?v=2GjpwBqde5E ,
50,Kreditur,https://www.youtube.com/watch?v=GCnVVcGB3_Q,
51,Pengeluaran Operasional,https://www.youtube.com/watch?v=VX9Zh0zdthc ,
52,Pinjaman Lembaga,https://www.youtube.com/watch?v=6sCpU1krSkc,
53,Pengembalian Pinjaman Lembaga,https://www.youtube.com/watch?v=dgZjcmGfFDE,
54,Pendapatan Lainnya,https://www.youtube.com/watch?v=kZ0hCNDtxxM ,
55,Mutasi Kas Bank,https://www.youtube.com/watch?v=54kz7oawSvM,
56,Hutang & Pembayaran Hutang,https://www.youtube.com/watch?v=kmayuZWBfLE,
57,Pinjaman Warga,https://www.youtube.com/watch?v=h5nOuXtIzxM,
58,Pengembalian Pinjaman Warga,https://www.youtube.com/watch?v=19muv68hwy0,
59,Pinjaman Internal,https://www.youtube.com/watch?v=0taAJ6sFCdg,
60,Pengembalian Pinjaman Internal,https://www.youtube.com/watch?v=d6_elBFKFmI,
61,Laporan Keuangan di Aplikasi Maslam Web,https://www.youtube.com/watch?v=4dErOXseQTM,
,,,
,Idul Fitri,,
62,Idul Fitri,https://www.youtube.com/watch?v=YZJb_PSu3zY,
63,Jadwal Tarawih,https://www.youtube.com/watch?v=quzO6g1rS9c,
64,Pembelian Beras Zakat Fitrah,https://www.youtube.com/watch?v=foM_73K7DW0,
,,,
,Idul Adha,,
65,Idul Adha,https://www.youtube.com/watch?v=PeMwjr3bgKw,
66,Jenis Hewan Kurban,https://www.youtube.com/watch?v=9oMztS3mFlQ,
67,Kategori Hewan Kurban,https://www.youtube.com/watch?v=PK5OXVQOv0E,
