file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Duta Solution/Duta.Project/__Browse References/FWOSearch.designer.vb,153,3843fa5f8cf6240a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FWOSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FWOSearch.vb,853,5154131cbdc9ffba,﻿Imports master_new.ModFunction,End Class,0,0,0,7,0
Duta Solution/Duta.Project/__General Form/CustomDesignForm.resx,632,d13f29c53c9caaf6,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__General Form/CustomDesignForm.vb,1229,d4adbb8adc1b39ea,Public Class CustomDesignForm,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__General Form/FCodeMstr.Designer.vb,600,982b99a574b03902,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__General Form/FCodeMstr.resx,126,10815bc58252fa8f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__General Form/FCodeMstr.vb,358,ba0ab9eb5c77ff13,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,8,0
Duta Solution/Duta.Project/__General Form/frmPrintDialog.Designer.vb,170,6b6178b15ee6767e,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__General Form/frmPrintDialog.resx,440,caabe7620bd14448,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__General Form/frmPrintDialog.vb,194,9c02836973d527ec,Imports master_new.PGSqlConn,End Class,0,0,0,1,0
Duta Solution/Duta.Project/__General Form/frmPrintDialogReport.Designer.vb,1406,43c5bd402f5977d5,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__General Form/frmPrintDialogReport.resx,446,0bde7817e885efc1,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__General Form/frmPrintDialogReport.vb,48,150408c4f7e7463c,Imports master_new.PGSqlConn,End Class,0,0,1,0,0
Duta Solution/Duta.Project/app.config,52,f8431d7c60940a9c,"<?xml version=""1.0""?>","<startup><supportedRuntime version=""v4.0"" sku="".NETFramework,Version=v4.6""/></startup></configuration>",0,0,0,0,0
