file,line_count,method_count
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FCreditor.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FCreditor.vb",26,4
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FDaysOff.designer.vb",691,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FDaysOff.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FDaysOff.vb",425,16
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FDaysOffImport.designer.vb",192,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FDaysOffImport.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FDaysOffImport.vb",279,11
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FPRKAccountSetting.designer.vb",344,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FPRKAccountSetting.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FPRKAccountSetting.vb",429,18
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FPRKMaster.designer.vb",428,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FPRKMaster.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FPRKMaster.vb",443,18
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankCreditLimitHistory.Designer.vb",268,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankCreditLimitHistory.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankCreditLimitHistory.vb",83,6
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanDisbursementReport.Designer.vb",167,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanDisbursementReport.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanDisbursementReport.vb",112,5
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanInterestHistory.Designer.vb",268,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanInterestHistory.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanInterestHistory.vb",87,6
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanPayInterestReport.Designer.vb",167,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanPayInterestReport.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanPayInterestReport.vb",96,5
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanPaymentReport.Designer.vb",167,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanPaymentReport.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FBankLoanPaymentReport.vb",97,5
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FCreditLimitReport.Designer.vb",110,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FCreditLimitReport.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FCreditLimitReport.vb",159,7
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FViewInterestPRKReport.designer.vb",645,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FViewInterestPRKReport.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FViewInterestPRKReport.vb",782,13
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FViewInterestReport.Designer.vb",566,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FViewInterestReport.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Report/FViewInterestReport.vb",424,9
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Transaction/FBankLoanDisbursement.designer.vb",911,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Transaction/FBankLoanDisbursement.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Transaction/FBankLoanDisbursement.vb",1642,41
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Transaction/FBankLoanPayInterest.designer.vb",789,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Transaction/FBankLoanPayInterest.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Transaction/FBankLoanPayInterest.vb",1235,37
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Transaction/FBankLoanPayment.designer.vb",789,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Transaction/FBankLoanPayment.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Transaction/FBankLoanPayment.vb",1270,38
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementLoanPrint.designer.vb",1250,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementLoanPrint.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementLoanPrint.vb",92,4
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementPromotionPrint.designer.vb",1506,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementPromotionPrint.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementPromotionPrint.vb",96,4
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRealizationPrint.designer.vb",979,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRealizationPrint.resx",594,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRealizationPrint.vb",287,12
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRealizationPrintPng.designer.vb",510,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRealizationPrintPng.resx",234,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRealizationPrintPng.vb",219,12
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRefundPrint.designer.vb",646,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRefundPrint.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRefundPrint.vb",89,4
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRequestPrint.designer.vb",807,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRequestPrint.resx",570,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Cash Management/Print Out/XRDisbursementRequestPrint.vb",286,12
